bin,size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
slow_asdf,1,1,490.13,1960210456,4252669683,12484738,290597,84121
slow_asdf,1,2,472.64,1955107528,4252639025,12420827,277792,33485
slow_asdf,1,3,486.12,1957867453,4252743984,12431829,323874,47079
slow_asdf,1,4,477.67,1954058682,4252575394,12412697,319881,31654
slow_asdf,1,5,483.55,1956845492,4252738480,12467891,291654,34228
slow_asdf,1,avg,482.02,1956817922.20,4252673313.20,12443596.40,300759.60,46113.40
slow_asdf,2,1,1910.79,7928974564,17009987636,52056957,610611,43150
slow_asdf,2,2,1911.03,7930585964,17010038519,52091217,595500,48391
slow_asdf,2,3,1908.48,7948422205,17009897051,52067529,662990,36693
slow_asdf,2,4,1920.74,7928813290,17010148375,52037994,567770,45631
slow_asdf,2,5,1915.25,7947125354,17010134912,52036067,727517,68783
slow_asdf,2,avg,1913.26,7936784275.40,17010041298.60,52057952.80,632877.60,48529.60
slow_asdf,4,1,7671.70,31967924511,67990659698,214237329,7343913,82009
slow_asdf,4,2,7686.44,32003831659,67990685261,214201517,8090643,114123
slow_asdf,4,3,7681.51,31992704046,67990727675,214277621,20882112,68077
slow_asdf,4,4,7697.77,32070856878,67990865284,214238098,11477282,111147
slow_asdf,4,5,7667.05,32023245074,67990226820,214331555,18932322,62629
slow_asdf,4,avg,7680.89,32011712433.60,67990632947.60,214257224.00,13345254.40,87597.00
slow_asdf,6,1,17357.71,72355380070,153197045317,483140111,76967818,165982
slow_asdf,6,2,17321.81,72299535680,153196430426,482902749,64457727,147248
slow_asdf,6,3,17333.69,72251950660,153197523202,483077496,70017803,156398
slow_asdf,6,4,17333.68,72278974080,153197331960,483014393,85188057,141343
slow_asdf,6,5,17299.51,72151018978,153196293543,483102860,70915107,135917
slow_asdf,6,avg,17329.28,72267371893.60,153196924889.60,483047521.80,73509302.40,149377.60
slow_asdf,8,1,30828.89,128520578972,272086781677,862162427,192415386,229404
slow_asdf,8,2,30803.98,128460881962,272085332376,862145486,188409428,290503
slow_asdf,8,3,30810.95,128494527902,272085128203,862219508,210610894,238396
slow_asdf,8,4,30846.46,128599944311,272087088829,862403472,244315606,285652
slow_asdf,8,5,30785.17,128376803852,272085423353,861755611,201292214,256424
slow_asdf,8,avg,30815.09,128490547399.80,272085950887.60,862137300.80,207408705.60,260075.80
slow_asdf,10,1,48156.34,200749337874,425600642160,1348358045,375158849,434287
slow_asdf,10,2,48190.77,200883878125,425599853951,1348617014,417398182,451850
slow_asdf,10,3,48191.37,200962584585,425600439507,1348449041,438485156,401259
slow_asdf,10,4,48194.06,201019394365,425599718112,1348333967,445141107,349803
slow_asdf,10,5,48219.96,201080972812,425600651419,1348098131,458983586,410337
slow_asdf,10,avg,48190.50,200939233552.20,425600261029.80,1348371239.60,427033376.00,409507.20
fast_asdf,1,1,5.79,13259443,19450898,76998,222275,30590
fast_asdf,1,2,3.36,13300419,19438817,76853,216039,28276
fast_asdf,1,3,4.61,13272523,19446246,77001,223856,29458
fast_asdf,1,4,3.27,13295297,19436573,76939,219423,28592
fast_asdf,1,5,4.33,13299451,19500121,77071,226830,31797
fast_asdf,1,avg,4.27,13285426.60,19454531.00,76972.40,221684.60,29742.60
fast_asdf,2,1,17.75,24775338,37418810,146083,256564,82118
fast_asdf,2,2,8.73,24318798,37287529,144854,236453,30714
fast_asdf,2,3,8.67,24356161,37298827,144875,229368,31049
fast_asdf,2,4,9.76,24269641,37301577,144404,232894,30659
fast_asdf,2,5,9.09,24384897,37341563,144874,229352,30338
fast_asdf,2,avg,10.80,24420967.00,37329661.20,145018.00,236926.20,40975.60
fast_asdf,4,1,28.90,47755272,75998022,277669,277452,85186
fast_asdf,4,2,18.96,47315103,75889206,276564,261772,32247
fast_asdf,4,3,22.80,47516629,75874302,276517,268832,33651
fast_asdf,4,4,20.71,47493193,75971864,277543,274648,33207
fast_asdf,4,5,17.01,47395120,75873768,276614,265826,32881
fast_asdf,4,avg,21.68,47495063.40,75921432.40,276981.40,269706.00,43434.40
fast_asdf,6,1,20.39,71926039,116124581,428579,266835,34047
fast_asdf,6,2,26.16,72349984,116218261,431247,293764,33175
fast_asdf,6,3,19.02,72022639,116105198,428697,274416,34457
fast_asdf,6,4,26.70,72160224,116198039,429976,293798,35988
fast_asdf,6,5,17.77,72234376,116152510,429081,286925,36030
fast_asdf,6,avg,22.01,72138652.40,116159717.80,429516.00,283147.60,34739.40
fast_asdf,8,1,46.16,96457810,155526989,577730,293874,82551
fast_asdf,8,2,29.69,96355566,155437652,577377,304773,37355
fast_asdf,8,3,41.06,96217820,155522202,577389,324167,38891
fast_asdf,8,4,41.35,96012354,155507748,576828,308640,37780
fast_asdf,8,5,34.12,99988974,155490510,577641,304373,35654
fast_asdf,8,avg,38.48,97006504.80,155497020.20,577393.00,307165.40,46446.20
fast_asdf,10,1,40.28,120905506,194872680,732665,333683,51401
fast_asdf,10,2,40.46,120825116,194982013,734052,337936,40538
fast_asdf,10,3,36.03,120771461,194957837,731659,333354,37970
fast_asdf,10,4,37.10,120925305,194871590,731791,324667,38030
fast_asdf,10,5,30.12,120744635,194910238,730344,323867,37173
fast_asdf,10,avg,36.80,120834404.60,194918871.60,732102.20,330701.40,41022.40
