`bin`,`size`,`run`,`task_clock_msec`,`cycles`,`instructions`,`branch_misses`,`cache_references`,`cache_misses`,`l1_dcache_loads`,`l1_dcache_load_misses`,`l2_references`,`l2_misses`,`llc_loads`,`llc_load_misses`
`slow_asdf`,1,5,681.32,1961299343.0,4254209370.0,12441332.0,54663.0,12868.0,1775787560.0,977634.0,1430929.0,67273.0,10429.0,4211.0
`slow_asdf`,1,avg,674.07,1962282615.6,4254221512.8,12442670.6,61323.8,13001.2,1777675141.0,1073652.6,1589277.4,90906.0,11422.4,3685.2
`slow_asdf`,2,1,2679.96,7975782419.0,17016042684.0,52071602.0,65687.0,13696.0,7104988690.0,11154729.0,13059216.0,107465.0,19537.0,5036.0
`slow_asdf`,2,2,2726.08,7969554676.0,17017183350.0,52049059.0,85856.0,20384.0,7103640842.0,10894373.0,12789917.0,117955.0,15427.0,3767.0
`slow_asdf`,2,3,2678.15,7957954403.0,17016108883.0,52082092.0,68417.0,15232.0,7106161049.0,10852024.0,12713200.0,104602.0,15497.0,3752.0
`slow_asdf`,2,4,2696.11,7994330495.0,17016195728.0,52045237.0,73187.0,15748.0,7106916303.0,10889784.0,12667042.0,119206.0,12798.0,920.0
`slow_asdf`,2,5,2709.19,7987295452.0,17017486195.0,52260681.0,122335.0,23097.0,7106057760.0,10857568.0,14092461.0,102830.0,14261.0,1876.0
`slow_asdf`,2,avg,2697.9,7976983489.0,17016603368.0,52101734.2,83096.4,17631.4,7105552928.8,10929695.6,13064367.2,110411.6,15504.0,3070.2
`slow_asdf`,4,1,10814.06,32105994447.0,68016582891.0,214335902.0,163075.0,31769.0,28394059483.0,50689449.0,57009861.0,174122.0,28440.0,696.0
`slow_asdf`,4,2,10818.72,32091199584.0,68017082633.0,214382752.0,158270.0,33403.0,28397417120.0,50652772.0,58159328.0,211649.0,35142.0,7227.0
`slow_asdf`,4,3,10798.91,32106539295.0,68016890604.0,214382697.0,175082.0,33102.0,28400419757.0,50634329.0,62591797.0,193988.0,34620.0,7264.0
`slow_asdf`,4,4,10837.43,32102851384.0,68016831354.0,214354247.0,184346.0,29910.0,28380184242.0,50613367.0,56579549.0,198090.0,35940.0,6340.0
`slow_asdf`,4,5,10789.2,32095957816.0,68015108045.0,214457605.0,129945.0,21782.0,28389748653.0,50635925.0,58398170.0,227505.0,34805.0,5478.0
`slow_asdf`,4,avg,10811.66,32100508505.2,68016499105.4,214382640.6,162143.6,29993.2,28392365851.0,50645168.4,58547741.0,201070.8,33789.4,5401.0
`slow_asdf`,6,1,24331.61,72339422444.0,153255230666.0,483286394.0,280302.0,53685.0,63959039873.0,116811084.0,133758671.0,350380.0,71180.0,9858.0
`slow_asdf`,6,2,24370.16,72303949226.0,153256733554.0,483124717.0,329070.0,59121.0,64001664965.0,116928576.0,136078392.0,313939.0,65269.0,9764.0
`slow_asdf`,6,3,24296.59,72253055447.0,153252473808.0,483212273.0,232996.0,31115.0,63977586125.0,116862107.0,133866073.0,384085.0,63484.0,6452.0
`slow_asdf`,6,4,24338.74,72314062478.0,153255020368.0,483173391.0,289281.0,51963.0,63978440108.0,116905067.0,135160925.0,344014.0,70133.0,10497.0
`slow_asdf`,6,5,24363.42,72356548187.0,153257478791.0,483409358.0,338869.0,62216.0,63998206433.0,116957586.0,138612989.0,372129.0,64104.0,5964.0
`slow_asdf`,6,avg,24340.1,72313407556.4,153255387437.4,483241226.6,294103.6,51620.0,63982987500.8,116892884.0,135495410.0,352909.4,66834.0,8507.0
`slow_asdf`,8,1,43305.61,128610340543.0,272189423026.0,862474645.0,549373.0,86580.0,113651855567.0,209831473.0,246426406.0,579473.0,118672.0,10673.0
`slow_asdf`,8,2,43290.11,128703647306.0,272191193394.0,862430172.0,597674.0,88301.0,113655248860.0,209721882.0,239237359.0,591854.0,111505.0,9843.0
`slow_asdf`,8,3,43343.14,128707382003.0,272191029557.0,862281576.0,563295.0,85204.0,113629319167.0,209711921.0,251559596.0,654313.0,126011.0,9988.0
`slow_asdf`,8,4,43285.36,128554955750.0,272187376236.0,862348984.0,483161.0,63897.0,113639147193.0,210020227.0,261193127.0,741874.0,133255.0,9872.0
`slow_asdf`,8,5,43309.21,128603147561.0,272190868502.0,862724013.0,583146.0,89344.0,113673407476.0,209697462.0,264259949.0,763860.0,144441.0,14851.0
`slow_asdf`,8,avg,43306.69,128635894632.6,272189978143.0,862451878.0,555329.8,82665.2,113649795652.6,209796593.0,252535287.4,666274.8,126776.8,11045.4
`slow_asdf`,10,1,67778.7,201364656001.0,425762543055.0,1348838660.0,972477.0,129508.0,177693223365.0,329206346.0,409232108.0,1410195.0,221448.0,15622.0
`slow_asdf`,10,2,67775.83,201283033384.0,425764297283.0,1349019756.0,1022006.0,137009.0,177702831483.0,329434462.0,401560225.0,1337918.0,211760.0,15288.0
`slow_asdf`,10,3,67737.5,201249562328.0,425760906654.0,1349079999.0,852221.0,120835.0,177751842707.0,329064331.0,377201958.0,893532.0,184745.0,17767.0
`slow_asdf`,10,4,67711.98,201234859985.0,425762290847.0,1349649972.0,1395049.0,129926.0,177741345412.0,329001483.0,380506345.0,891616.0,173396.0,13152.0
`slow_asdf`,10,5,67746.95,201338715182.0,425763428454.0,1349135554.0,962471.0,138979.0,177716777780.0,329018004.0,391979397.0,956661.0,192122.0,15811.0
`slow_asdf`,10,avg,67750.19,201294165376.0,425762693258.6,1349144788.2,1040844.8,131251.4,177721204149.4,329144925.2,392096006.6,1097984.4,196694.2,15528.0
