bin,size,run,task_clock_msec,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
slow_asdf,1,1,310.91,1778179514,188733,670294,103078,7808,60
slow_asdf,1,2,313.24,1780668049,163631,639880,97873,9179,176
slow_asdf,1,3,311.72,1773706197,151165,592027,110322,12014,950
slow_asdf,1,4,313.98,1782511717,197119,740571,123291,12251,768
slow_asdf,1,5,314.07,1778017341,164986,679086,118363,10835,270
slow_asdf,1,avg,312.78,1778616563.60,173126.80,664371.60,110585.40,10417.40,444.80
slow_asdf,2,1,1304.18,7099301704,3810883,9181900,197043,29680,397
slow_asdf,2,2,1304.28,7097931525,3854899,9175886,169351,29215,190
slow_asdf,2,3,1303.29,7105341866,3851090,9258324,190656,29259,417
slow_asdf,2,4,1306.40,7102247533,3850824,9215366,180584,30563,165
slow_asdf,2,5,1302.70,7103612561,3862665,9236806,178399,31461,276
slow_asdf,2,avg,1304.17,7101687037.80,3846072.20,9213656.40,183206.60,30035.60,289.00
slow_asdf,4,1,5296.83,28380308449,20688731,50073388,476396,113845,2609
slow_asdf,4,2,5306.82,28372936688,20705458,50132602,386018,108374,2702
slow_asdf,4,3,5301.88,28382755540,20751838,50039536,393259,110309,1483
slow_asdf,4,4,5307.37,28375239558,20698330,49978203,447241,98437,1710
slow_asdf,4,5,5346.96,28388568410,20657088,49842316,372255,97775,960
slow_asdf,4,avg,5311.97,28379961729.00,20700289.00,50013209.00,415033.80,105748.00,1892.80
slow_asdf,6,1,11967.63,63913546773,48327094,117883238,692712,203359,3927
slow_asdf,6,2,11926.74,63932872258,48488163,118273213,742514,228572,3164
slow_asdf,6,3,11940.79,63913434846,48345499,117536924,660414,178750,2020
slow_asdf,6,4,11952.69,63939903076,48430151,118471642,829202,238703,2782
slow_asdf,6,5,11933.68,63946553336,48279146,117927500,751817,226937,2545
slow_asdf,6,avg,11944.31,63929262057.80,48374010.60,118018503.40,735331.80,215264.20,2887.60
slow_asdf,8,1,21240.25,113581147491,87475850,213386569,1283481,427319,2412
slow_asdf,8,2,21239.19,113579086036,87550204,214101074,1422038,413563,3454
slow_asdf,8,3,21232.90,113566156167,87619675,214290456,1492601,485082,3996
slow_asdf,8,4,21248.15,113599850100,87623390,214247007,1458659,469096,4585
slow_asdf,8,5,21239.30,113554194240,87603781,214215623,1335592,440968,4302
slow_asdf,8,avg,21239.96,113576086806.80,87574580.00,214048145.80,1398474.20,447205.60,3749.80
slow_asdf,10,1,33282.56,177653739563,137435838,335885113,2076927,699010,6259
slow_asdf,10,2,33244.39,177650939312,137677294,339571127,2555210,818027,5252
slow_asdf,10,3,33254.57,177587891804,137718759,338195660,2330061,741139,5517
slow_asdf,10,4,33240.72,177644735107,137847077,340015291,2746511,874695,6211
slow_asdf,10,5,33448.74,177623709394,137656971,339753574,2754947,845195,5620
slow_asdf,10,avg,33294.20,177632203036.00,137667187.80,338684153.00,2492731.20,795613.20,5771.80
fast_asdf,1,1,7.37,7214509,28944,244929,70329,4582,86
fast_asdf,1,2,6.41,7422921,15773,255956,82494,5292,518
fast_asdf,1,3,6.94,7378891,25006,279404,105018,4836,88
fast_asdf,1,4,6.84,7401241,26719,254894,76653,4817,97
fast_asdf,1,5,2.74,4010606,32394,195341,70222,616,139
fast_asdf,1,avg,6.06,6685633.60,25767.20,246104.80,80943.20,4028.60,185.60
fast_asdf,2,1,11.43,14339849,23225,360001,178864,6813,565
fast_asdf,2,2,5.06,14563169,42405,333573,101350,4495,399
fast_asdf,2,3,9.59,13597223,41447,268202,69775,3703,82
fast_asdf,2,4,10.45,13257001,37236,316431,103030,4353,153
fast_asdf,2,5,10.30,13342252,36680,292385,75322,4192,142
fast_asdf,2,avg,9.37,13819898.80,36198.60,314118.40,105668.20,4711.20,268.20
fast_asdf,4,1,14.56,25990732,32413,278566,82674,5082,167
fast_asdf,4,2,14.95,24499553,44584,282386,86750,3059,66
fast_asdf,4,3,15.56,25715642,41153,309978,108084,4659,155
fast_asdf,4,4,15.27,26157869,35936,321073,127148,5233,214
fast_asdf,4,5,15.33,25964164,39151,288510,79443,4883,197
fast_asdf,4,avg,15.13,25665592.00,38647.40,296102.60,96819.80,4583.20,159.80
fast_asdf,6,1,20.34,38962507,36375,301564,95282,5717,231
fast_asdf,6,2,18.05,42632195,43181,319357,95079,5185,181
fast_asdf,6,3,18.89,41146908,42534,319221,89312,5445,152
fast_asdf,6,4,19.02,42089746,56401,335892,100898,2331,57
fast_asdf,6,5,18.95,41180108,47346,333127,96467,5627,146
fast_asdf,6,avg,19.05,41202292.80,45167.40,321832.20,95407.60,4861.00,153.40
fast_asdf,8,1,25.95,53984111,53274,340208,105730,4856,116
fast_asdf,8,2,22.09,54560447,56796,338563,92207,4422,72
fast_asdf,8,3,22.59,56098081,52747,375719,119957,4662,171
fast_asdf,8,4,23.30,56309294,42203,355459,111714,5347,146
fast_asdf,8,5,23.43,54996020,57402,357030,103359,4340,122
fast_asdf,8,avg,23.47,55189590.60,52484.40,353395.80,106593.40,4725.40,125.40
fast_asdf,10,1,29.37,67610113,63372,383400,94864,2074,108
fast_asdf,10,2,27.70,68219891,47181,341598,102019,6585,246
fast_asdf,10,3,27.32,65384842,63222,340379,103714,3463,248
fast_asdf,10,4,27.55,66664878,58617,342985,97101,5222,152
fast_asdf,10,5,27.17,67595461,39683,339352,158978,9341,928
fast_asdf,10,avg,27.82,67095037.00,54415.00,349542.80,111335.20,5337.00,336.40
