`bin`,`size`,`run`,`task_clock_msec`,`cycles`,`instructions`,`branch_misses`,`cache_references`,`cache_misses`,`l1_dcache_loads`,`l1_dcache_load_misses`,`l2_references`,`l2_misses`,`llc_loads`,`llc_load_misses`
`fast_asdf`,1,1,7.2,9040678.0,19457960.0,73365.0,58352.0,9858.0,7214509.0,28944.0,244929.0,70329.0,4582.0,86.0
`fast_asdf`,1,2,6.47,8946507.0,19444751.0,72645.0,53906.0,8762.0,7422921.0,15773.0,255956.0,82494.0,5292.0,518.0
`fast_asdf`,1,3,6.84,9217936.0,19442995.0,74635.0,86594.0,9272.0,7378891.0,25006.0,279404.0,105018.0,4836.0,88.0
`fast_asdf`,1,4,6.79,8911179.0,19441857.0,72262.0,54294.0,8612.0,7401241.0,26719.0,254894.0,76653.0,4817.0,97.0
`fast_asdf`,1,5,7.06,8978115.0,19439220.0,73296.0,62023.0,8146.0,4010606.0,32394.0,195341.0,70222.0,616.0,139.0
`fast_asdf`,1,avg,6.87,9018883.0,19445356.6,73240.6,63033.8,8930.0,6685633.6,25767.2,246104.8,80943.2,4028.6,185.6
`fast_asdf`,2,1,11.52,16540707.0,37276255.0,139497.0,56450.0,8778.0,14339849.0,23225.0,360001.0,178864.0,6813.0,565.0
`fast_asdf`,2,2,10.73,16488807.0,37315756.0,140434.0,52899.0,8946.0,14563169.0,42405.0,333573.0,101350.0,4495.0,399.0
`fast_asdf`,2,3,10.1,16488268.0,37294720.0,139958.0,58291.0,8454.0,13597223.0,41447.0,268202.0,69775.0,3703.0,82.0
`fast_asdf`,2,4,9.56,16422391.0,37276100.0,140402.0,58568.0,9596.0,13257001.0,37236.0,316431.0,103030.0,4353.0,153.0
`fast_asdf`,2,5,8.91,16496776.0,37241522.0,139703.0,56047.0,9137.0,13342252.0,36680.0,292385.0,75322.0,4192.0,142.0
`fast_asdf`,2,avg,10.16,16487389.8,37280870.6,139998.8,56451.0,8982.2,13819898.8,36198.6,314118.4,105668.2,4711.2,268.2
`fast_asdf`,4,1,17.73,32200701.0,75834108.0,274337.0,54785.0,10046.0,25990732.0,32413.0,278566.0,82674.0,5082.0,167.0
`fast_asdf`,4,2,14.85,32015594.0,75814292.0,274094.0,53599.0,9610.0,24499553.0,44584.0,282386.0,86750.0,3059.0,66.0
`fast_asdf`,4,3,14.75,32193790.0,75848337.0,274619.0,67189.0,13981.0,25715642.0,41153.0,309978.0,108084.0,4659.0,155.0
`fast_asdf`,4,4,14.43,32080692.0,75846925.0,275321.0,63171.0,11942.0,26157869.0,35936.0,321073.0,127148.0,5233.0,214.0
`fast_asdf`,4,5,14.95,32529063.0,75862812.0,276014.0,89772.0,10321.0,25964164.0,39151.0,288510.0,79443.0,4883.0,197.0
`fast_asdf`,4,avg,15.34,32203968.0,75841294.8,274877.0,65703.2,11180.0,25665592.0,38647.4,296102.6,96819.8,4583.2,159.8
`fast_asdf`,6,1,21.69,48641774.0,116030271.0,426152.0,54683.0,11426.0,38962507.0,36375.0,301564.0,95282.0,5717.0,231.0
`fast_asdf`,6,2,19.7,49052534.0,116087454.0,428168.0,95529.0,10885.0,42632195.0,43181.0,319357.0,95079.0,5185.0,181.0
`fast_asdf`,6,3,17.26,48434130.0,116067424.0,427356.0,54203.0,11391.0,41146908.0,42534.0,319221.0,89312.0,5445.0,152.0
`fast_asdf`,6,4,19.63,49049305.0,116024667.0,430594.0,117164.0,12265.0,42089746.0,56401.0,335892.0,100898.0,2331.0,57.0
`fast_asdf`,6,5,19.13,48749433.0,116080416.0,426609.0,66451.0,10837.0,41180108.0,47346.0,333127.0,96467.0,5627.0,146.0
`fast_asdf`,6,avg,19.48,48785435.2,116058046.4,427775.8,77606.0,11360.8,41202292.8,45167.4,321832.2,95407.6,4861.0,153.4
`fast_asdf`,8,1,25.37,65323499.0,155317794.0,575986.0,64781.0,12855.0,53984111.0,53274.0,340208.0,105730.0,4856.0,116.0
`fast_asdf`,8,2,23.45,65272007.0,155308323.0,575501.0,72456.0,12490.0,54560447.0,56796.0,338563.0,92207.0,4422.0,72.0
`fast_asdf`,8,3,23.87,65522522.0,155372060.0,575884.0,73071.0,14995.0,56098081.0,52747.0,375719.0,119957.0,4662.0,171.0
`fast_asdf`,8,4,24.17,65799361.0,155310594.0,579415.0,109351.0,15541.0,56309294.0,42203.0,355459.0,111714.0,5347.0,146.0
`fast_asdf`,8,5,23.57,65759427.0,155325965.0,574277.0,67149.0,12848.0,54996020.0,57402.0,357030.0,103359.0,4340.0,122.0
`fast_asdf`,8,avg,24.09,65535363.2,155326947.2,576212.6,77361.6,13745.8,55189590.6,52484.4,353395.8,106593.4,4725.4,125.4
`fast_asdf`,10,1,30.1,82438867.0,194871500.0,726144.0,63221.0,12919.0,67610113.0,63372.0,383400.0,94864.0,2074.0,108.0
`fast_asdf`,10,2,27.7,81851436.0,194762228.0,728427.0,71258.0,13205.0,68219891.0,47181.0,341598.0,102019.0,6585.0,246.0
`fast_asdf`,10,3,29.97,81801371.0,194778227.0,729360.0,71442.0,13334.0,65384842.0,63222.0,340379.0,103714.0,3463.0,248.0
`fast_asdf`,10,4,26.37,81917076.0,194793536.0,727976.0,62871.0,13415.0,66664878.0,58617.0,342985.0,97101.0,5222.0,152.0
`fast_asdf`,10,5,27.57,81929199.0,194790831.0,728831.0,66618.0,12977.0,67595461.0,39683.0,339352.0,158978.0,9341.0,928.0
`fast_asdf`,10,avg,28.34,81987589.8,194799264.4,728147.6,67082.0,13170.0,67095037.0,54415.0,349542.8,111335.2,5337.0,336.4
`slow_asdf`,1,1,313.06,1213089110.0,4251793114.0,10200907.0,90356.0,9807.0,1778179514.0,188733.0,670294.0,103078.0,7808.0,60.0
`slow_asdf`,1,2,311.99,1214463761.0,4251532852.0,10167796.0,80515.0,8592.0,1780668049.0,163631.0,639880.0,97873.0,9179.0,176.0
`slow_asdf`,1,3,311.15,1212918592.0,4251616002.0,10146880.0,81813.0,9307.0,1773706197.0,151165.0,592027.0,110322.0,12014.0,950.0
`slow_asdf`,1,4,312.31,1215779680.0,4251592721.0,10202843.0,82862.0,10167.0,1782511717.0,197119.0,740571.0,123291.0,12251.0,768.0
`slow_asdf`,1,5,312.01,1216548077.0,4251668662.0,10173702.0,77639.0,11587.0,1778017341.0,164986.0,679086.0,118363.0,10835.0,270.0
`slow_asdf`,1,avg,312.1,1214559844.0,4251640670.2,10178425.6,82637.0,9892.0,1778616563.6,173126.8,664371.6,110585.4,10417.4,444.8
`slow_asdf`,2,1,1300.27,5161022304.0,17007273697.0,48136769.0,165650.0,16610.0,7099301704.0,3810883.0,9181900.0,197043.0,29680.0,397.0
`slow_asdf`,2,2,1301.95,5167382960.0,17006224770.0,48279133.0,154910.0,12093.0,7097931525.0,3854899.0,9175886.0,169351.0,29215.0,190.0
`slow_asdf`,2,3,1309.69,5197926866.0,17006614294.0,48383632.0,148174.0,11368.0,7105341866.0,3851090.0,9258324.0,190656.0,29259.0,417.0
`slow_asdf`,2,4,1316.37,5222863188.0,17006942246.0,48060290.0,135237.0,13526.0,7102247533.0,3850824.0,9215366.0,180584.0,30563.0,165.0
`slow_asdf`,2,5,1304.69,5172052642.0,17006448384.0,48041776.0,136409.0,13602.0,7103612561.0,3862665.0,9236806.0,178399.0,31461.0,276.0
`slow_asdf`,2,avg,1306.59,5184249592.0,17006700678.2,48180320.0,148076.0,13439.8,7101687037.8,3846072.2,9213656.4,183206.6,30035.6,289.0
`slow_asdf`,4,1,5286.46,21065588217.0,67977414254.0,203193297.0,357835.0,21463.0,28380308449.0,20688731.0,50073388.0,476396.0,113845.0,2609.0
`slow_asdf`,4,2,5284.96,21066273311.0,67978674553.0,203442438.0,449225.0,21842.0,28372936688.0,20705458.0,50132602.0,386018.0,108374.0,2702.0
`slow_asdf`,4,3,5290.29,21080504076.0,67977411463.0,203446032.0,345707.0,22677.0,28382755540.0,20751838.0,50039536.0,393259.0,110309.0,1483.0
`slow_asdf`,4,4,5279.16,21040049468.0,67978679348.0,203573436.0,385956.0,17337.0,28375239558.0,20698330.0,49978203.0,447241.0,98437.0,1710.0
`slow_asdf`,4,5,5287.39,21060230787.0,67978951875.0,203407243.0,364927.0,24718.0,28388568410.0,20657088.0,49842316.0,372255.0,97775.0,960.0
`slow_asdf`,4,avg,5285.65,21062529171.8,67978226298.6,203412489.2,380730.0,21607.4,28379961729.0,20700289.0,50013209.0,415033.8,105748.0,1892.8
`slow_asdf`,6,1,11910.9,47504108835.0,153167620614.0,460249021.0,686928.0,31764.0,63913546773.0,48327094.0,117883238.0,692712.0,203359.0,3927.0
`slow_asdf`,6,2,11902.87,47475656608.0,153168043579.0,460399343.0,782517.0,30275.0,63932872258.0,48488163.0,118273213.0,742514.0,228572.0,3164.0
`slow_asdf`,6,3,11907.21,47484707457.0,153167716599.0,459775745.0,784221.0,32759.0,63913434846.0,48345499.0,117536924.0,660414.0,178750.0,2020.0
`slow_asdf`,6,4,11930.75,47583817260.0,153170208596.0,460140903.0,868903.0,33109.0,63939903076.0,48430151.0,118471642.0,829202.0,238703.0,2782.0
`slow_asdf`,6,5,11909.59,47504041748.0,153168678080.0,460568418.0,685603.0,29166.0,63946553336.0,48279146.0,117927500.0,751817.0,226937.0,2545.0
`slow_asdf`,6,avg,11912.26,47510466381.6,153168453493.6,460226686.0,761634.4,31414.6,63929262057.8,48374010.6,118018503.4,735331.8,215264.2,2887.6
`slow_asdf`,8,1,21246.34,84763963637.0,272035471634.0,825237451.0,1354833.0,39168.0,113581147491.0,87475850.0,213386569.0,1283481.0,427319.0,2412.0
`slow_asdf`,8,2,21201.02,84581280187.0,272037074503.0,825594648.0,1882616.0,42591.0,113579086036.0,87550204.0,214101074.0,1422038.0,413563.0,3454.0
`slow_asdf`,8,3,21221.49,84662663512.0,272037534888.0,824699762.0,1253849.0,37821.0,113566156167.0,87619675.0,214290456.0,1492601.0,485082.0,3996.0
`slow_asdf`,8,4,21186.83,84525289640.0,272041712797.0,825492504.0,1840869.0,40823.0,113599850100.0,87623390.0,214247007.0,1458659.0,469096.0,4585.0
