run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,776.34,3172896899,2010998171,53498267,725465,39953
2,773.72,3172762552,2011098271,53464041,586490,34040
3,771.23,3174738349,2011050868,53569032,460152,32613
4,772.54,3172580981,2011088846,53494901,404880,35181
5,779.69,3173211535,2010995262,53522510,344011,44843
avg,774.70,3173238063.20,2011046283.60,53509750.20,504199.60,37326.00
