run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,1080.36,3176830404,2013412246,53518988,57913,16841
2,1084.60,3177057930,2013494236,53590757,55580,12727
3,1104.01,3181510285,2014820832,53468610,96512,22825
4,1075.58,3176838003,2013337576,53538006,80106,12703
5,1081.33,3175228320,2013475649,53465108,56045,12852
avg,1085.18,3177492988.40,2013708107.80,53516293.80,69231.20,15589.60
