run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,4.10,8498440,6995939,150732,220876,30452
2,3.78,8584601,7007554,150880,220443,32235
3,2.67,8706337,7025822,151833,219461,28995
4,2.65,8611557,7009955,150772,223162,30536
5,4.76,8953965,7025485,151497,245406,81415
avg,3.59,8670980.00,7012951.00,151142.80,225869.60,40726.60
