run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,7.98,14230989,11076414,290271,44450,11808
2,14.86,14000825,11150656,290880,46111,11300
3,15.59,14114184,11191099,292805,49534,11435
4,15.75,14097697,11160292,292513,58469,10966
5,16.22,14267627,11223385,295009,68985,11655
avg,14.08,14142264.40,11160369.20,292295.60,53509.80,11432.80
