run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,4437.06,13137234415,8039751242,231330960,83013,15917
2,4446.37,13142639713,8041214722,230991087,114964,24715
3,4452.09,13138874701,8040940089,231182500,96128,22147
4,4438.60,13137509437,8039925515,231173747,86130,17295
5,4445.88,13144476411,8041212153,231402190,112560,24178
avg,4444.00,13140146935.40,8040608744.20,231216096.80,98559.00,20850.40
