run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,5.08,14130582,11058559,294539,237648,32825
2,4.82,14137768,11080895,292707,243056,33302
3,6.82,14175116,11099796,294041,259107,32068
4,5.98,14243171,11117625,294154,246044,33420
5,8.14,14586670,11124808,294777,264695,84911
avg,6.17,14254661.40,11096336.60,294043.60,250110.00,43305.20
