run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,3160.97,13126736712,8029736175,231142188,4001757,50189
2,3150.21,13124052028,8029764477,230937006,23700571,45413
3,3154.71,13130635550,8029959603,231015149,3770273,62041
4,3153.85,13124346951,8029888256,230790476,8325594,61442
5,3148.46,13126900141,8029731216,231136656,7139966,44762
avg,3153.64,13126534276.40,8029815945.40,231004295.00,9387632.20,52769.40
