run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,267.57,743185088,506299260,11399299,52664,11378
2,270.77,743231761,506256482,11392660,49279,11462
3,269.77,742125584,506412145,11362313,50745,11757
4,267.10,741788404,506358585,11329830,50579,11690
5,270.43,742618173,506351504,11371387,49253,11597
avg,269.13,742589802.00,506335595.20,11371097.80,50504.00,11576.80
