run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,7.25,5681163,5184965,79708,43622,11904
2,7.16,5645346,5195491,77877,41812,11243
3,4.64,5897574,5156662,80436,62783,10413
4,7.22,5644762,5182789,78539,47317,10829
5,7.28,5700094,5195179,79146,51758,10826
avg,6.71,5713787.80,5183017.20,79141.20,49458.40,11043.00
