run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,193.45,743998436,505701380,11376846,316933,94864
2,181.53,740818301,505548226,11281592,258668,37237
3,181.58,742317384,505656661,11387663,294614,31473
4,191.27,747714693,505818716,11371284,426829,45137
5,192.57,742435614,505680842,11334454,282911,33736
avg,188.08,743456885.60,505681165.00,11350367.80,315991.00,48489.40
