run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,1.98,5872051,5149901,80685,218552,31853
2,1.95,5926962,5140116,81359,218212,30720
3,1.85,5916595,5147850,80738,221012,28879
4,2.23,5898911,5151852,80906,217032,28295
5,2.95,5789714,5119589,80388,219532,29304
avg,2.19,5880846.60,5141861.60,80815.20,218868.00,29810.20
