run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,17850.23,53010480629,32149823443,939592557,326661,53392
2,17838.47,53013474367,32148776372,940295279,307305,49262
3,17847.06,53002310341,32148097550,941410922,258304,36624
4,17899.93,53051030178,32150519846,942921565,344748,53822
5,17845.57,53008240291,32147966469,941855499,225807,34680
avg,17856.25,53017107161.20,32149036736.00,941215164.40,292565.00,45556.00
