run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,16.46,26164038,19314113,606192,290507,35505
2,9.40,26150481,19270626,606623,278465,37584
3,7.48,26092797,19210041,605586,271233,32961
4,9.71,26009941,19297859,606853,282831,35531
5,17.80,26278545,19329464,606545,285308,81421
avg,12.17,26139160.40,19284420.60,606359.80,281668.80,44600.40
