run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,15.19,26092173,19304241,603181,51082,12162
2,26.68,25829988,19441497,602817,57352,12091
3,24.53,25889557,19430425,605174,67774,11907
4,13.00,26041232,19275380,603875,49526,11571
5,24.89,25763556,19396826,603012,51363,12263
avg,20.86,25923301.20,19369673.80,603611.80,55419.40,11998.80
