run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,12721.40,52991214995,32106582541,938774339,188427650,183250
2,12722.15,53027283167,32106487305,941187816,172368610,108783
3,12710.47,52969840711,32106467785,939409136,199107211,119257
4,12726.34,53024654583,32106642372,940875700,181024562,95651
5,12726.58,53034149207,32106696656,941796923,184462289,107569
avg,12721.39,53009428532.60,32106575331.80,940408782.80,185078064.40,122902.00
