run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,26.58,31767608,23428748,767166,56781,12517
2,17.15,32031413,23306635,765373,52127,11764
3,21.07,32132459,23388400,767202,68391,11922
4,29.48,31728014,23476874,765921,54954,12563
5,29.30,31866463,23480156,766436,53626,12364
avg,24.72,31905191.40,23416162.60,766419.60,57175.80,12226.00
