run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,13.87,32326167,23320142,769280,303504,90377
2,13.93,31859014,23310302,768849,300501,36528
3,11.44,31892291,23283749,768769,281853,35692
4,11.43,31853861,23289936,767023,297700,36837
5,11.42,31853634,23271103,768063,306473,36478
avg,12.42,31956993.40,23295046.40,768396.80,298006.20,47182.40
