run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,19910.36,83052802513,50175092196,1470417590,385510725,197723
2,19931.28,83025124199,50174874461,1474602610,365492419,182947
3,19910.87,83014359224,50174510607,1473884701,370280969,188546
4,19901.02,82996668385,50174458090,1473546655,359539105,130146
5,19911.86,82984200607,50174131708,1465560018,438761068,160890
avg,19913.08,83014630985.60,50174613412.40,1471602314.80,383916857.20,172050.40
