run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,27947.58,83067342977,50239999312,1472674856,443067,45006
2,27982.59,83074221476,50240575686,1473468117,385373,44824
3,27947.94,83054306679,50242077501,1475598695,450014,62035
4,28006.89,83057573379,50243156060,1473822690,479913,70455
5,27973.72,83066025203,50241015926,1475363396,613266,53538
avg,27971.74,83063893942.80,50241364897.00,1474185550.80,474326.60,55171.60
