run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,20.69,19821220,15312265,444817,47271,12280
2,23.33,20655892,15317850,470356,49681,12014
3,20.07,20029071,15322169,449673,60956,11427
4,20.63,19919270,15322095,447036,52085,11435
5,21.47,20015424,15357168,449071,76119,11373
avg,21.24,20088175.40,15326309.40,452190.60,57222.40,11705.80
