run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,5.67,19947167,15175675,448460,249907,31870
2,8.05,19963762,15200540,449039,266123,33682
3,8.42,20057792,15259440,449464,264002,34625
4,6.06,19893239,15154701,447760,248940,32728
5,11.55,20000620,15198074,449000,258992,40821
avg,7.95,19972516.00,15197686.00,448744.60,257592.80,34745.20
