run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,10036.98,29766087016,18090908424,525504218,192296,31097
2,10045.07,29772010847,18090958690,525664648,202902,35340
3,10024.36,29771776683,18090529486,525988198,160260,29172
4,10041.35,29762016956,18090870921,525072190,171943,36075
5,10036.26,29779755161,18092102869,525289089,237551,39908
avg,10036.80,29770329332.60,18091074078.00,525503668.60,192990.40,34318.40
