run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
1,7142.79,29727622682,18066343790,524311461,34266933,106854
2,7155.84,29752669215,18066425790,525502211,70126323,111279
3,7137.12,29759489104,18066458595,526072061,52798684,57463
4,7145.27,29768783970,18066707663,525178112,52980103,94130
5,7147.02,29750382551,18066267552,526010943,57847052,83115
avg,7145.61,29751789504.40,18066440678.00,525414957.60,53603819.00,90568.20
